Question,Answer
"# Translate:

наверное

## Footnote

Он, наверное, дома.","probably

## Footnote

He's probably at home."
"# Translate:

период

## Footnote

Этот период важный.","period

## Footnote

This period is important."
"# Translate:

кстати

## Footnote

Кстати, а он где?","by the way

## Footnote

By the way, where is he?"
"# Translate:

пара

## Footnote

Пара минут.","pair, couple

## Footnote

A couple of minutes."
"# Translate:

квартира

## Footnote

У него своя квартира.","apartment, flat

## Footnote

He's got his own apartment."
"# Translate:

забыть

## Footnote

Я забыл.","to forget

## Footnote

I forgot."
"# Translate:

значение

## Footnote

Какое значение?","meaning

## Footnote

What's the meaning?"
"# Translate:

внутренний

## Footnote

Это внутреннее дело.","internal, inner

## Footnote

That's an internal matter."
"# Translate:

связать

## Footnote

Как это связать?","to tie, to connect

## Footnote

How do I connect this?"
"# Translate:

требовать

## Footnote

Что ты требуешь?","to demand

## Footnote

What are you demanding?"
"# Translate:

далее

## Footnote

Читай далее.","further

## Footnote

Read further."
"# Translate:

основа

## Footnote

На какой основе?","basis, foundation

## Footnote

On what basis?"
"# Translate:

возможный

## Footnote

Это возможный путь.","possible

## Footnote

That's a possible way."
"# Translate:

желание

## Footnote

У меня есть желание.","wish, desire

## Footnote

I have a desire."
"# Translate:

слушать

## Footnote

Слушай меня.","to listen

## Footnote

Listen to me."
"# Translate:

чуть

## Footnote

Жди чуть-чуть.","a little, slightly

## Footnote

Wait a little."
"# Translate:

номер

## Footnote

Какой номер?","number, room

## Footnote

What number?"
"# Translate:

изменение

## Footnote

Есть изменения?","change

## Footnote

Any changes?"
"# Translate:

очередь

## Footnote

Стоим в очереди.","line, queue

## Footnote

We're standing in line."
"# Translate:

политика

## Footnote

Не про политику.","politics, policy

## Footnote

Let's not talk politics."
"# Translate:

класс

## Footnote

В каком классе?","class

## Footnote

What class are you in?"
"# Translate:

относиться

## Footnote

Как он к тебе относится?","to treat, to pertain to

## Footnote

How does he treat you?"
"# Translate:

факт

## Footnote

И это факт.","fact

## Footnote

And that's a fact."
"# Translate:

брат

## Footnote

У меня брат.","brother

## Footnote

I have a brother."
"# Translate:

собираться

## Footnote

Ты собираешься?","to be going to, to get ready

## Footnote

Are you getting ready?"
"# Translate:

довольно

## Footnote

Это довольно просто.","quite, rather

## Footnote

That's quite simple."
"# Translate:

производство

## Footnote

Он на производстве.","production

## Footnote

He's in production."
"# Translate:

создание

## Footnote

Это его создание.","creation

## Footnote

That's his creation."
"# Translate:

район

## Footnote

Я в том районе.","area, district

## Footnote

I'm in that area."
"# Translate:

особый

## Footnote

Ничего особого.","special

## Footnote

Nothing special."
"# Translate:

верить

## Footnote

Ты мне веришь?","to believe

## Footnote

Do you believe me?"
"# Translate:

спасибо

## Footnote

Спасибо за помощь.","thank you, thanks

## Footnote

Thanks for the help."
