Question,Answer
"# Translate:

дизайнер

## Footnote

Дизайнер здесь.","designer, stylist

## Footnote

The designer is here."
"# Translate:

бег

## Footnote

Я люблю бег.","run, running

## Footnote

I love running."
"# Translate:

дырка

## Footnote

В стене дырка.","hole, gap

## Footnote

There's a hole in the wall."
"# Translate:

начинающий

## Footnote

Она начинающая.","beginner, novice

## Footnote

She is a beginner."
"# Translate:

причём

## Footnote

Он опоздал, причём не позвонил.","moreover, what's more

## Footnote

He was late; moreover, he didn't call."
"# Translate:

бухгалтер

## Footnote

Спроси бухгалтера.","accountant, bookkeeper

## Footnote

Ask the accountant."
"# Translate:

констатировать

## Footnote

Он констатировал факт.","to state, to note

## Footnote

He stated the fact."
"# Translate:

преследование

## Footnote

Это преследование.","persecution, pursuit

## Footnote

This is persecution."
"# Translate:

подбор

## Footnote

Подбор занял час.","selection, choice

## Footnote

The selection took an hour."
"# Translate:

совершаться

## Footnote

Обряд совершается ежегодно.","to be performed, to take place

## Footnote

The rite is performed annually."
"# Translate:

спецслужба

## Footnote

Спецслужба нашла его.","intelligence agency

## Footnote

The intelligence agency found him."
"# Translate:

хлопнуть

## Footnote

Он хлопнул дверью.","to slam, to bang

## Footnote

He slammed the door."
"# Translate:

проследить

## Footnote

Я прослежу за этим.","track, monitor

## Footnote

I'll monitor it."
"# Translate:

вмешаться

## Footnote

Он вмешался в спор.","intervene, interfere

## Footnote

He intervened in the argument."
"# Translate:

туристический

## Footnote

Туристический сезон.","tourist, touristic

## Footnote

Tourist season."
"# Translate:

ясность

## Footnote

Нужна ясность.","clarity, clearness

## Footnote

We need clarity."
"# Translate:

блондинка

## Footnote

Она блондинка.","blonde, blond

## Footnote

She is a blonde."
"# Translate:

жопа

## Footnote

Он упал на жопу.","butt, ass

## Footnote

He fell on his butt."
"# Translate:

отстаивать

## Footnote

Они отстаивают права.","defend, insist on

## Footnote

They defend their rights."
"# Translate:

поразительный

## Footnote

Вид поразительный.","amazing, astonishing

## Footnote

The view is amazing."
"# Translate:

прописать

## Footnote

Врач прописал это.","prescribe, register

## Footnote

The doctor prescribed this."
"# Translate:

обитать

## Footnote

Медведи обитают в лесу.","to inhabit, to dwell

## Footnote

Bears inhabit the forest."
"# Translate:

довестись

## Footnote

Мне довелось жить там.","to happen to

## Footnote

I happened to live there."
"# Translate:

господство

## Footnote

Его господство кончилось.","dominance, supremacy

## Footnote

His dominance ended."
"# Translate:

загрузка

## Footnote

Загрузка идёт медленно.","loading, download

## Footnote

Loading is slow."
"# Translate:

апостол

## Footnote

Он был апостолом.","apostle

## Footnote

He was an apostle."
"# Translate:

внесение

## Footnote

Внесение изменений.","introduction, contribution

## Footnote

The introduction of changes."
"# Translate:

инфекция

## Footnote

У него инфекция.","infection, contagion

## Footnote

He has an infection."
"# Translate:

галактика

## Footnote

Галактика далеко.","galaxy

## Footnote

The galaxy is far away."
"# Translate:

спичка

## Footnote

Дай спичку.","match, matchstick

## Footnote

Give me a match."
"# Translate:

электроэнергия

## Footnote

Нет электроэнергии.","electricity, electric power

## Footnote

There's no electricity."
"# Translate:

интерьер

## Footnote

Интерьер простой.","interior, decor

## Footnote

The interior is simple."
"# Translate:

портить

## Footnote

Не порти день.","spoil, ruin

## Footnote

Don't spoil the day."
