Question,Answer
"# Translate:

предлагаться

## Footnote

Это предлагается нам.","to be offered, to be proposed

## Footnote

This is offered to us."
"# Translate:

мыслить

## Footnote

Он мыслит быстро.","think, reason

## Footnote

He thinks fast."
"# Translate:

грузовик

## Footnote

Грузовик уже здесь.","truck, lorry

## Footnote

The truck is already here."
"# Translate:

полдень

## Footnote

Приходи в полдень.","noon, midday

## Footnote

Come at noon."
"# Translate:

свыше

## Footnote

Свыше пяти человек.","above, over

## Footnote

Over five people."
"# Translate:

уставиться

## Footnote

Он уставился на меня.","to stare, to gaze

## Footnote

He stared at me."
"# Translate:

стрельба

## Footnote

Слышишь стрельбу?","shooting, gunfire

## Footnote

Do you hear the shooting?"
"# Translate:

править

## Footnote

Он правит страной.","rule, govern

## Footnote

He rules the country."
"# Translate:

оформить

## Footnote

Оформи заказ.","process, formalize

## Footnote

Process the order."
"# Translate:

болото

## Footnote

Мы у болота.","swamp, marsh

## Footnote

We are by the swamp."
"# Translate:

контрольный

## Footnote

Это контрольный вопрос.","control, check

## Footnote

This is a control question."
"# Translate:

авария

## Footnote

Там была авария.","accident, crash

## Footnote

There was an accident."
"# Translate:

интеллект

## Footnote

У него сильный интеллект.","intellect, intelligence

## Footnote

He has a strong intellect."
"# Translate:

леди

## Footnote

Эта леди здесь.","lady, dame

## Footnote

This lady is here."
"# Translate:

захват

## Footnote

Это захват города.","capture, seizure

## Footnote

This is the capture of the city."
"# Translate:

послышаться

## Footnote

Послышался голос.","to be heard

## Footnote

A voice was heard."
"# Translate:

перечень

## Footnote

Вот перечень.","list, inventory

## Footnote

Here is the list."
"# Translate:

развернуться

## Footnote

План развернулся.","unfold, deploy

## Footnote

The plan unfolded."
"# Translate:

сохраняться

## Footnote

Традиция сохраняется.","to be preserved, to remain

## Footnote

The tradition is preserved."
"# Translate:

расходиться

## Footnote

Наши пути расходятся.","to diverge, to differ

## Footnote

Our paths diverge."
"# Translate:

инстинкт

## Footnote

Это мой инстинкт.","instinct, intuition

## Footnote

This is my instinct."
