Question,Answer
"# Translate:

шлем

## Footnote

Надень шлем.","helmet

## Footnote

Put on the helmet."
"# Translate:

меньшинство

## Footnote

Меньшинство против.","minority

## Footnote

The minority is against."
"# Translate:

нарастать

## Footnote

Шум стал нарастать.","grow

## Footnote

The noise began to grow."
"# Translate:

сарай

## Footnote

В сарае темно.","shed

## Footnote

It's dark in the shed."
"# Translate:

чувствительный

## Footnote

Он слишком чувствительный.","sensitive

## Footnote

He is too sensitive."
"# Translate:

установленный

## Footnote

Это установленный факт.","established

## Footnote

This is an established fact."
"# Translate:

повторный

## Footnote

Повторный звонок.","repeated

## Footnote

A repeated call."
"# Translate:

изобрести

## Footnote

Он хочет изобрести машину.","invent

## Footnote

He wants to invent a machine."
"# Translate:

ван

## Footnote

Ван стоит у дома.","van

## Footnote

The van is by the house."
"# Translate:

добыть

## Footnote

Надо добыть воду.","obtain

## Footnote

We need to obtain water."
"# Translate:

престол

## Footnote

Он на престоле.","throne

## Footnote

He is on the throne."
"# Translate:

вздыхать

## Footnote

Она стала вздыхать.","sigh

## Footnote

She began to sigh."
"# Translate:

бешеный

## Footnote

Он просто бешеный.","mad

## Footnote

He is just mad."
"# Translate:

купаться

## Footnote

Я люблю купаться.","swim

## Footnote

I love to swim."
"# Translate:

пытка

## Footnote

Это пытка.","torture

## Footnote

This is torture."
"# Translate:

навести

## Footnote

Наведи на цель.","aim

## Footnote

Aim at the target."
"# Translate:

парочка

## Footnote

Там стоит парочка.","couple

## Footnote

A couple is standing there."
"# Translate:

проанализировать

## Footnote

Надо проанализировать это.","analyze

## Footnote

We need to analyze this."
"# Translate:

пристально

## Footnote

Он пристально смотрел.","intently

## Footnote

He looked intently."
"# Translate:

критиковать

## Footnote

Не критикуй её.","criticize

## Footnote

Do not criticize her."
"# Translate:

здешний

## Footnote

Он здешний.","local

## Footnote

He is local."
"# Translate:

мчаться

## Footnote

Он стал мчаться.","race

## Footnote

He began to race."
"# Translate:

горожанин

## Footnote

Он горожанин.","townsman

## Footnote

He is a townsman."
"# Translate:

кролик

## Footnote

Кролик бежит.","rabbit

## Footnote

The rabbit runs."
"# Translate:

фундамент

## Footnote

Фундамент крепкий.","foundation

## Footnote

The foundation is strong."
"# Translate:

бал

## Footnote

Она идёт на бал.","ball

## Footnote

She is going to the ball."
"# Translate:

спонсор

## Footnote

Кто наш спонсор?","sponsor

## Footnote

Who is our sponsor?"
"# Translate:

королевство

## Footnote

Это большое королевство.","kingdom

## Footnote

This is a big kingdom."
"# Translate:

герцог

## Footnote

Герцог уже здесь.","duke

## Footnote

The duke is already here."
"# Translate:

оборачиваться

## Footnote

Не оборачивайся.","turn around

## Footnote

Do not turn around."
"# Translate:

ссора

## Footnote

Это была ссора.","quarrel

## Footnote

That was a quarrel."
"# Translate:

останавливать

## Footnote

Не останавливай меня.","stop

## Footnote

Do not stop me."
"# Translate:

внушать

## Footnote

Его слова внушают страх.","inspire

## Footnote

His words inspire fear."
"# Translate:

оправдывать

## Footnote

Не оправдывай себя.","justify

## Footnote

Do not justify yourself."
"# Translate:

разводить

## Footnote

Он разводит собак.","breed

## Footnote

He breeds dogs."
"# Translate:

именовать

## Footnote

Как его именуют?","name

## Footnote

What do they name him?"
"# Translate:

подводить

## Footnote

Не подводи меня.","let down

## Footnote

Do not let me down."
"# Translate:

кран

## Footnote

Закрой кран.","faucet

## Footnote

Close the faucet."
"# Translate:

порядочный

## Footnote

Он порядочный человек.","decent

## Footnote

He is a decent man."
"# Translate:

роковой

## Footnote

Это роковой час.","fateful

## Footnote

This is a fateful hour."
"# Translate:

ступать

## Footnote

Не ступай сюда.","step

## Footnote

Do not step here."
"# Translate:

песенка

## Footnote

Какая милая песенка.","song

## Footnote

What a nice song."
"# Translate:

восемьдесят

## Footnote

Ей исполнилось восемьдесят.","eighty

## Footnote

She turned eighty."
"# Translate:

олень

## Footnote

Олень стоит там.","deer

## Footnote

A deer is standing there."
"# Translate:

настойчиво

## Footnote

Он настойчиво просил.","persistently

## Footnote

He persistently asked."
"# Translate:

барабан

## Footnote

Он бьёт в барабан.","drum

## Footnote

He is hitting the drum."
"# Translate:

катер

## Footnote

Катер уже здесь.","motorboat

## Footnote

The motorboat is already here."
"# Translate:

платный

## Footnote

Это платный вход.","paid

## Footnote

This is paid entry."
"# Translate:

парус

## Footnote

Парус белый.","sail

## Footnote

The sail is white."
"# Translate:

любоваться

## Footnote

Он любовался видом.","admire

## Footnote

He admired the view."
"# Translate:

отключить

## Footnote

Отключи телефон.","turn off

## Footnote

Turn off the phone."
"# Translate:

равнодушный

## Footnote

Он равнодушный.","indifferent

## Footnote

He is indifferent."
"# Translate:

зажечь

## Footnote

Надо зажечь свечу.","light

## Footnote

Light the candle."
"# Translate:

коль

## Footnote

Коль хочешь, иди.","if

## Footnote

If you want, go."
"# Translate:

удаляться

## Footnote

Он стал удаляться.","move away

## Footnote

He began to move away."
"# Translate:

ежегодный

## Footnote

Это ежегодный праздник.","annual

## Footnote

This is an annual holiday."
"# Translate:

расставаться

## Footnote

Пора расставаться.","part

## Footnote

Time to part."
"# Translate:

минувший

## Footnote

Минувшим летом.","last

## Footnote

Last summer."
"# Translate:

злость

## Footnote

Его злость ясна.","anger

## Footnote

His anger is clear."
"# Translate:

вторжение

## Footnote

Это вторжение.","invasion

## Footnote

This is an invasion."
"# Translate:

эра

## Footnote

Новая эра.","era

## Footnote

A new era."
"# Translate:

рожа

## Footnote

Какая у него рожа.","mug

## Footnote

What a mug he has."
"# Translate:

властный

## Footnote

У неё властный тон.","authoritative

## Footnote

She has an authoritative tone."
"# Translate:

жестокость

## Footnote

Какая жестокость.","cruelty

## Footnote

What cruelty."
"# Translate:

сосредоточиться

## Footnote

Сосредоточься на деле.","concentrate

## Footnote

Concentrate on the matter."
"# Translate:

тряпка

## Footnote

Дай тряпку.","rag

## Footnote

Give me the rag."
"# Translate:

показ

## Footnote

Показ уже начался.","show

## Footnote

The show already started."
"# Translate:

залог

## Footnote

Это залог успеха.","pledge

## Footnote

This is a pledge of success."
"# Translate:

ферма

## Footnote

Мы живём на ферме.","farm

## Footnote

We live on a farm."
"# Translate:

познать

## Footnote

Он хочет познать мир.","know

## Footnote

He wants to know the world."
"# Translate:

отделить

## Footnote

Отдели это.","separate

## Footnote

Separate this."
"# Translate:

искра

## Footnote

Видишь искру?","spark

## Footnote

Do you see the spark?"
"# Translate:

оргазм

## Footnote

Это был оргазм.","orgasm

## Footnote

That was an orgasm."
"# Translate:

монополия

## Footnote

Это монополия.","monopoly

## Footnote

This is a monopoly."
"# Translate:

запланировать

## Footnote

Запланируй встречу.","plan

## Footnote

Plan the meeting."
"# Translate:

койка

## Footnote

Он на койке.","bunk

## Footnote

He is on the bunk."
"# Translate:

выигрывать

## Footnote

Он любит выигрывать.","win

## Footnote

He loves to win."
"# Translate:

аптека

## Footnote

Где аптека?","pharmacy

## Footnote

Where is the pharmacy?"
"# Translate:

догнать

## Footnote

Надо тебя догнать.","catch up

## Footnote

I need to catch up with you."
"# Translate:

парадокс

## Footnote

Это парадокс.","paradox

## Footnote

This is a paradox."
"# Translate:

титул

## Footnote

Он получил титул.","title

## Footnote

He got the title."
"# Translate:

треугольник

## Footnote

Это треугольник.","triangle

## Footnote

This is a triangle."
"# Translate:

детектив

## Footnote

Детектив пришёл.","detective

## Footnote

The detective came."
"# Translate:

подозрительный

## Footnote

Он подозрительный.","suspicious

## Footnote

He is suspicious."
"# Translate:

кислород

## Footnote

Нам нужен кислород.","oxygen

## Footnote

We need oxygen."
"# Translate:

вращаться

## Footnote

Колесо вращается.","rotate

## Footnote

The wheel is rotating."
