Question,Answer
"# Translate:

practical

## Footnote

She prefers practical solutions.","практический

## Footnote

Она предпочитает практические решения."
"# Translate:

translate

## Footnote

Please translate this document.","перевести

## Footnote

Пожалуйста, переведите этот документ."
"# Translate:

to need

## Footnote

I need help.","нуждаться

## Footnote

Я нуждаюсь в помощи."
"# Translate:

directly

## Footnote

He reported this directly to the director.","непосредственно

## Footnote

Он сообщил это непосредственно директору."
"# Translate:

sexual

## Footnote

Sexual health is important.","сексуальный

## Footnote

Сексуальное здоровье важно."
"# Translate:

including

## Footnote

Every student came, including the teacher.","включая

## Footnote

Каждый студент пришёл, включая учителя."
"# Translate:

unknown

## Footnote

His name is unknown.","неизвестный

## Footnote

Его имя неизвестно."
"# Translate:

unhappy

## Footnote

He felt deeply unhappy inside.","несчастный

## Footnote

Он чувствовал себя глубоко несчастным внутри."
"# Translate:

layer

## Footnote

Add another layer of paint.","слой

## Footnote

Добавьте еще один слой краски."
"# Translate:

musical

## Footnote

She loves musical evenings.","музыкальный

## Footnote

Она любит музыкальные вечера."
"# Translate:

besides

## Footnote

Besides work, she studies art.","помимо

## Footnote

Помимо работы, она занимается искусством."
"# Translate:

appointment

## Footnote

He received an important appointment yesterday.","назначение

## Footnote

Он получил важное назначение вчера."
"# Translate:

guilty

## Footnote

He felt guilty.","виноватый

## Footnote

Он чувствовал себя виноватым."
"# Translate:

shift

## Footnote

I start my night shift soon.","смена

## Footnote

Я скоро начинаю свою ночную смену."
"# Translate:

positive

## Footnote

He received a positive answer.","положительный

## Footnote

Он получил положительный ответ."
"# Translate:

meat

## Footnote

I bought meat for dinner.","мясо

## Footnote

Я купил мясо на ужин."
"# Translate:

allocate

## Footnote

Please allocate time for education.","выделить

## Footnote

Пожалуйста, выделите время на образование."
"# Translate:

park

## Footnote

Let's meet at the park.","парк

## Footnote

Давайте встретимся в парке."
"# Translate:

prominent

## Footnote

He is a prominent writer.","видный

## Footnote

Он видный писатель."
"# Translate:

status

## Footnote

Check your status.","статус

## Footnote

Проверьте ваш статус."
"# Translate:

prison

## Footnote

He was in prison yesterday.","тюрьма

## Footnote

Он был в тюрьме вчера."
"# Translate:

one and a half

## Footnote

I waited one and a half hours.","полтора

## Footnote

Я ждал полтора часа."
"# Translate:

observation

## Footnote

His observation was accurate.","наблюдение

## Footnote

Его наблюдение было точным."
"# Translate:

figure out

## Footnote

I need to figure out this problem.","разобраться

## Footnote

Мне нужно разобраться с этой проблемой."
"# Translate:

psychological

## Footnote

He has psychological problems.","психологический

## Footnote

У него психологические проблемы."
"# Translate:

to engage in

## Footnote

I decided to engage in sport.","заняться

## Footnote

Я решил заняться спортом."
"# Translate:

to raise

## Footnote

They raise their hands.","поднимать

## Footnote

Они поднимают руки."
"# Translate:

to be ill

## Footnote

She is ill today.","болеть

## Footnote

Она болеет сегодня."
"# Translate:

stupid

## Footnote

That was a stupid error.","глупый

## Footnote

Это была глупая ошибка."
"# Translate:

to introduce oneself

## Footnote

I want to introduce myself.","представляться

## Footnote

Я хочу представиться."
"# Translate:

advantage

## Footnote

Knowledge is a significant advantage.","преимущество

## Footnote

Знание - это значительное преимущество."
"# Translate:

stretch out

## Footnote

He stretched out his hand.","протянуть

## Footnote

Он протянул руку."
"# Translate:

agreement

## Footnote

We made an agreement yesterday.","соглашение

## Footnote

Мы заключили соглашение вчера."
"# Translate:

rear

## Footnote

Check the car's rear mirror.","задний

## Footnote

Проверь заднее зеркало машины."
"# Translate:

accessible

## Footnote

The museum is easily accessible by train.","доступный

## Footnote

Музей легко доступен на поезде."
"# Translate:

to lie ahead

## Footnote

Much work lies ahead.","предстоять

## Footnote

Предстоит много работы."
