Question,Answer
"# Translate:

safely

## Footnote

They arrived home safely.","благополучно

## Footnote

Они благополучно прибыли домой."
"# Translate:

herd

## Footnote

The herd is large.","стадо

## Footnote

Стадо большое."
"# Translate:

to be mentioned

## Footnote

His name is mentioned in the report.","упоминаться

## Footnote

Его имя упоминается в докладе."
"# Translate:

portion

## Footnote

She ate a small portion.","порция

## Footnote

Она ела маленькую порцию."
"# Translate:

sidewalk

## Footnote

I am on the sidewalk.","тротуар

## Footnote

Я на тротуаре."
"# Translate:

panic

## Footnote

There was panic in the city.","паника

## Footnote

В городе была паника."
"# Translate:

flight

## Footnote

The flight is at noon.","рейс

## Footnote

Рейс в полдень."
"# Translate:

Christmas

## Footnote

Christmas brings families together.","Рождество

## Footnote

Рождество собирает вместе семьи."
"# Translate:

secular

## Footnote

This school is secular.","светский

## Footnote

Эта школа светская."
"# Translate:

to insist

## Footnote

She continued to insist.","настаивать

## Footnote

Она продолжала настаивать."
"# Translate:

characterize

## Footnote

Critics characterize the movie as good.","характеризовать

## Footnote

Критики характеризуют фильм как хороший."
"# Translate:

checkmate

## Footnote

He declared checkmate.","мат

## Footnote

Он объявил мат."
"# Translate:

academic

## Footnote

She chose an academic career.","академический

## Footnote

Она выбрала академическую карьеру."
"# Translate:

hesitate

## Footnote

He hesitated.","колебаться

## Footnote

Он колебался."
"# Translate:

lock up

## Footnote

Please lock up the house this evening.","запереть

## Footnote

Пожалуйста, заприте дом сегодня вечером."
"# Translate:

pierce

## Footnote

The knife will pierce the door.","пробить

## Footnote

Нож пробьёт дверь."
"# Translate:

similarity

## Footnote

There is a similarity between them.","сходство

## Footnote

Между ними есть сходство."
"# Translate:

startle

## Footnote

I startle easily.","вздрагивать

## Footnote

Я легко вздрагиваю."
"# Translate:

inspection

## Footnote

I need an inspection.","осмотр

## Footnote

Мне нужен осмотр."
"# Translate:

cautious

## Footnote

He is cautious crossing the street.","осторожный

## Footnote

Он осторожен, переходя улицу."
"# Translate:

therapy

## Footnote

She started therapy.","терапия

## Footnote

Она начала терапию."
"# Translate:

ethnic

## Footnote

They are an ethnic group.","этнический

## Footnote

Они — этническая группа."
"# Translate:

peephole

## Footnote

She looked through the peephole.","глазок

## Footnote

Она посмотрела в глазок."
"# Translate:

poster

## Footnote

I bought a movie poster yesterday.","плакат

## Footnote

Я купил плакат к фильму вчера."
"# Translate:

to be based

## Footnote

The theory is based on facts.","основываться

## Footnote

Теория основывается на фактах."
