Question,Answer
"# Translate:

скажем

## Footnote

Скажем, завтра.","let's say, for example

## Footnote

Let's say tomorrow."
"# Translate:

поступать

## Footnote

Я хочу поступать в университет.","to apply, to enroll

## Footnote

I want to apply to university."
"# Translate:

нижний

## Footnote

На нижнем этаже.","lower, bottom

## Footnote

On the lower floor."
"# Translate:

южный

## Footnote

Южный ветер.","south, southern

## Footnote

A south wind."
"# Translate:

газ

## Footnote

Нет газа.","gas

## Footnote

There's no gas."
"# Translate:

печать

## Footnote

Нужна печать.","seal, stamp

## Footnote

We need a stamp."
"# Translate:

водка

## Footnote

Ещё водки?","vodka

## Footnote

More vodka?"
"# Translate:

дед

## Footnote

Это мой дед.","grandfather, granddad

## Footnote

That's my grandfather."
"# Translate:

телевизор

## Footnote

Включи телевизор.","television, TV

## Footnote

Turn on the TV."
"# Translate:

беседа

## Footnote

Вчера у нас была долгая беседа.","conversation, chat

## Footnote

We had a long conversation yesterday."
"# Translate:

повышение

## Footnote

У него повышение.","promotion, increase

## Footnote

He got a promotion."
"# Translate:

крыша

## Footnote

Крыша дома.","roof

## Footnote

The roof of the house."
"# Translate:

звонок

## Footnote

Я жду твоего звонка.","call, ring

## Footnote

I am waiting for your call."
"# Translate:

ах

## Footnote

Ах, теперь понятно.","ah, oh

## Footnote

Ah, now I get it."
"# Translate:

продолжаться

## Footnote

Работа продолжается.","to continue, to go on

## Footnote

The work continues."
"# Translate:

контакт

## Footnote

Мы поддерживаем контакт.","contact

## Footnote

We keep in contact."
"# Translate:

приобрести

## Footnote

Хочу приобрести машину.","to get, to acquire

## Footnote

I want to get a car."
"# Translate:

истинный

## Footnote

Это истинный друг.","true, genuine

## Footnote

He's a true friend."
"# Translate:

неужели

## Footnote

Неужели ты не знал?","really?

## Footnote

You really didn't know?"
"# Translate:

дама

## Footnote

Кто эта дама?","lady

## Footnote

Who's that lady?"
"# Translate:

мягкий

## Footnote

Хлеб мягкий.","soft

## Footnote

The bread is soft."
"# Translate:

уважаемый

## Footnote

Он у нас уважаемый.","respected

## Footnote

He's well respected here."
"# Translate:

допустить

## Footnote

Как ты мог это допустить?","to allow, to let happen

## Footnote

How could you let that happen?"
"# Translate:

творчество

## Footnote

Мне нравится его творчество.","creative work

## Footnote

I like his creative work."
"# Translate:

художественный

## Footnote

У неё художественный вкус.","artistic

## Footnote

She has artistic taste."
"# Translate:

сутки

## Footnote

Я работал целые сутки.","24 hours, a day

## Footnote

I worked 24 hours."
"# Translate:

честно

## Footnote

Честно, я не знал.","honestly

## Footnote

Honestly, I didn't know."
"# Translate:

ресурс

## Footnote

У нас мало ресурсов.","resource

## Footnote

We're short on resources."
"# Translate:

поверхность

## Footnote

На поверхности воды.","surface

## Footnote

On the surface of the water."
"# Translate:

свойство

## Footnote

Это его свойство.","property, quality

## Footnote

That's a quality of his."
"# Translate:

значительно

## Footnote

Дом значительно больше.","significantly, a lot

## Footnote

The house is a lot bigger."
"# Translate:

привыкнуть

## Footnote

Я хочу привыкнуть к этому.","to get used to

## Footnote

I want to get used to this."
"# Translate:

доступ

## Footnote

У тебя есть доступ?","access

## Footnote

Do you have access?"
"# Translate:

вечный

## Footnote

Это вечная тема.","eternal

## Footnote

That's an eternal topic."
"# Translate:

брак

## Footnote

Их брак был счастливым.","marriage

## Footnote

Their marriage was happy."
"# Translate:

стекло

## Footnote

Стекло чистое.","glass

## Footnote

The glass is clean."
"# Translate:

мероприятие

## Footnote

Завтра большое мероприятие.","event

## Footnote

There's a big event tomorrow."
"# Translate:

обсуждение

## Footnote

После обсуждения решим.","discussion

## Footnote

We'll decide after the discussion."
"# Translate:

установка

## Footnote

Установка заняла час.","installation

## Footnote

The installation took an hour."
"# Translate:

случайно

## Footnote

Я случайно это сделал.","accidentally, by chance

## Footnote

I did that accidentally."
"# Translate:

подать

## Footnote

Подай хлеб.","to pass, to serve

## Footnote

Pass the bread."
"# Translate:

бороться

## Footnote

Придётся бороться.","to fight, to struggle

## Footnote

We'll have to fight."
"# Translate:

мужской

## Footnote

Это мужской голос.","male, men's

## Footnote

That's a male voice."
"# Translate:

гореть

## Footnote

Огонь горит.","to burn, to be on

## Footnote

The fire is burning."
"# Translate:

связанный

## Footnote

Это связанные вещи.","related, connected

## Footnote

These things are related."
"# Translate:

лишний

## Footnote

Это лишнее.","extra, unnecessary

## Footnote

That's unnecessary."
"# Translate:

реформа

## Footnote

Опять какая-то реформа.","reform

## Footnote

Another reform."
"# Translate:

задание

## Footnote

Какое задание на завтра?","task, assignment

## Footnote

What's tomorrow's assignment?"
"# Translate:

встречать

## Footnote

Мы встречаем гостей.","to meet, to greet

## Footnote

We're meeting guests."
"# Translate:

пригласить

## Footnote

Я приглашу тебя на обед.","to invite

## Footnote

I'll invite you to lunch."
"# Translate:

билет

## Footnote

Два билета, пожалуйста.","ticket

## Footnote

Two tickets, please."
"# Translate:

свежий

## Footnote

Хлеб свежий?","fresh

## Footnote

Is the bread fresh?"
"# Translate:

обязанность

## Footnote

Это моя обязанность.","duty

## Footnote

That's my duty."
"# Translate:

ввести

## Footnote

Они введут новые правила.","to introduce, to bring in

## Footnote

They'll bring in new rules."
"# Translate:

расход

## Footnote

Большие расходы в этом месяце.","expense, consumption

## Footnote

Big expenses this month."
"# Translate:

ведущий

## Footnote

Кто ведущий?","host

## Footnote

Who's the host?"
"# Translate:

повторять

## Footnote

Не повторяй это.","to repeat

## Footnote

Don't keep repeating that."
"# Translate:

отечественный

## Footnote

Это отечественный продукт.","domestic

## Footnote

This is a domestic product."
"# Translate:

владелец

## Footnote

Кто владелец?","owner

## Footnote

Who's the owner?"
"# Translate:

оборудование

## Footnote

Оборудование новое.","equipment

## Footnote

The equipment is new."
"# Translate:

беда

## Footnote

Вот беда.","trouble

## Footnote

That's trouble."
"# Translate:

сообщать

## Footnote

Мне не сообщают.","to report, to inform

## Footnote

They're not informing me."
"# Translate:

впереди

## Footnote

Кто там впереди?","ahead, in front

## Footnote

Who's that up ahead?"
