Question,Answer
"# Translate:

разместиться

## Footnote

Мы забронировали отель, чтобы разместиться все вместе.","to accommodate, to settle

## Footnote

We booked a hotel to accommodate everyone."
"# Translate:

археолог

## Footnote

Археолог обнаружил древние руины.","archaeologist, archeologist

## Footnote

The archaeologist discovered ancient ruins."
"# Translate:

осесть

## Footnote

Пыль оседет на полках.","settle, perch

## Footnote

Dust will settle on the shelves."
"# Translate:

диаграмма

## Footnote

Диаграмма наглядно иллюстрирует процесс.","diagram, chart

## Footnote

The diagram illustrates the process clearly."
"# Translate:

распределить

## Footnote

Пожалуйста, распределите листовки равномерно.","distribute, allocate

## Footnote

Please distribute the flyers evenly."
"# Translate:

приподняться

## Footnote

Она смогла приподняться со своего стула.","to rise, to lift

## Footnote

She managed to rise from her chair."
"# Translate:

конница

## Footnote

Конница атаковала на рассвете.","cavalry, horsemen

## Footnote

The cavalry charged at dawn."
"# Translate:

раскопка

## Footnote

Раскопка обнаружила древние артефакты.","excavation, dig

## Footnote

The excavation revealed ancient artifacts."
"# Translate:

своевременно

## Footnote

Ваш своевременный совет спас проект.","timely, punctually

## Footnote

Your timely advice saved the project."
"# Translate:

выброс

## Footnote

Уровни выбросов заводов растут.","emission, discharge

## Footnote

Factory emission levels are rising."
"# Translate:

крылатый

## Footnote

Крылатый конь взмыл высоко.","winged, wing-shaped

## Footnote

The winged horse soared high."
"# Translate:

роса

## Footnote

Утренняя роса сверкала на траве.","dew, rosa

## Footnote

Morning dew glistened on the grass."
"# Translate:

геополитический

## Footnote

Геополитические напряженности нарастают во всем мире.","geopolitical

## Footnote

Geopolitical tensions are escalating globally."
"# Translate:

пакетик

## Footnote

Я купил пакетик чая вчера.","bag, sachet

## Footnote

I bought a tea bag yesterday."
"# Translate:

ярлык

## Footnote

Проверьте ярлык на предмет инструкций по стирке.","label, tag

## Footnote

Check the label for washing instructions."
"# Translate:

беспощадный

## Footnote

Он был беспощадный в своих амбициях.","ruthless, merciless

## Footnote

He was ruthless in his ambition."
"# Translate:

вывозить

## Footnote

Нам нужно вывозить гражданских.","to evacuate, to export

## Footnote

We need to evacuate the civilians."
"# Translate:

прививка

## Footnote

Прививка защищает от многих болезней.","vaccination, inoculation

## Footnote

Vaccination protects against many diseases."
"# Translate:

воздержаться

## Footnote

Я воздержусь от голосования.","abstain, refrain

## Footnote

I will abstain from voting."
"# Translate:

разведывательный

## Footnote

Дрон провел разведывательную миссию.","reconnaissance, intelligence

## Footnote

The drone conducted a reconnaissance mission."
"# Translate:

ответчик

## Footnote

Ответчик отрицал все обвинения.","respondent, defendant

## Footnote

The respondent denied all allegations."
"# Translate:

цезарь

## Footnote

Юлий Цезарь был римским генералом.","Caesar, tsar

## Footnote

Julius Caesar was a Roman general."
"# Translate:

бушевать

## Footnote

Ярость бури затемнила небо.","rage, storm

## Footnote

The storm's rage darkened the sky."
"# Translate:

серийный

## Footnote

Они запустили серийное производство.","serial, series

## Footnote

They launched a serial production line."
"# Translate:

чинить

## Footnote

Я отремонтирую сломанные часы.","repair, fix

## Footnote

I will repair the broken clock."
"# Translate:

изолировать

## Footnote

Мы должны изолировать зараженную зону.","isolate, insulate

## Footnote

We must isolate the infected area."
"# Translate:

убеждаться

## Footnote

Я позвонил, чтобы убедиться, что ты в порядке.","to make sure, to ascertain

## Footnote

I called to make sure you're okay."
"# Translate:

контингент

## Footnote

Контингент прибыл вовремя.","contingent, group

## Footnote

The contingent arrived on time."
"# Translate:

рацион

## Footnote

Я меняю свой рацион завтра.","diet, ration

## Footnote

I'm changing my diet tomorrow."
"# Translate:

подпольный

## Footnote

Они вели подпольную газету.","underground, clandestine

## Footnote

They ran an underground newspaper."
"# Translate:

пьянка

## Footnote

Пьянка длилась всю ночь.","drinking party, binge

## Footnote

The drinking party lasted all night."
"# Translate:

всецело

## Footnote

Она была всецело предана своей семье.","wholly, entirely

## Footnote

She was wholly devoted to her family."
"# Translate:

настраивать

## Footnote

Мне нужно настроить настройки.","to adjust, to configure

## Footnote

I need to adjust the settings."
"# Translate:

экспортный

## Footnote

Япония будет осуществлять экспортный выпуск автомобилей по всему миру.","export, export-oriented

## Footnote

Japan will export cars worldwide."
"# Translate:

азарт

## Footnote

Азарт от игры был заразителен.","excitement, gambling

## Footnote

The game's excitement was contagious."
"# Translate:

болезненно

## Footnote

Он был болезненно осознающий свою ошибку.","painfully, sorely

## Footnote

He was painfully aware of his mistake."
"# Translate:

мах

## Footnote

Он сделал мах в мою сторону.","swing, flap

## Footnote

He took a swing at me."
"# Translate:

самолюбие

## Footnote

Повышайте своё самолюбие каждый день.","self-esteem, vanity

## Footnote

Boost your self-esteem daily."
"# Translate:

венгерский

## Footnote

Она свободно говорит на венгерском.","Hungarian

## Footnote

She speaks fluent Hungarian."
"# Translate:

кашель

## Footnote

Он пытался сдержать свой кашель.","cough, coughing

## Footnote

He tried to suppress his cough."
"# Translate:

вписать

## Footnote

Я впишусь на курс.","enroll, inscribe

## Footnote

I will enroll in the course."
"# Translate:

ограбить

## Footnote

Они планируют ограбить банк.","rob, plunder

## Footnote

They plan to rob the bank."
"# Translate:

иммунитет

## Footnote

Вакцины обеспечивают иммунитет против болезней.","immunity, immunization

## Footnote

Vaccines provide immunity against diseases."
"# Translate:

фигурировать

## Footnote

Он будет фигурировать в отчете.","figure, feature

## Footnote

He will figure in the report."
"# Translate:

обвести

## Footnote

Он пытался обвести вокруг проблемы.","lead around, encircle

## Footnote

He tried to lead around the issue."
"# Translate:

миллионер

## Footnote

Он стал миллионером за одну ночь.","millionaire, millionaire

## Footnote

He became a millionaire overnight."
"# Translate:

ипотечный

## Footnote

Я ежемесячно погашаю свой ипотечный кредит.","mortgage, mortgaged

## Footnote

I'm paying off my mortgage monthly."
"# Translate:

высокопоставленный

## Footnote

Высокопоставленный чиновник принял решение.","high-ranking, senior

## Footnote

The high-ranking official made a decision."
"# Translate:

обком

## Footnote

Региональный обком собрался сегодня.","regional committee, obkom

## Footnote

The regional committee convened today."
