Question,Answer
"# Translate:

comment

## Footnote

Please leave a comment below.","комментарий

## Footnote

Пожалуйста, оставьте комментарий ниже."
"# Translate:

client

## Footnote

The client requested a meeting.","клиент

## Footnote

Клиент запросил встречу."
"# Translate:

strike

## Footnote

The boxer's strike was incredibly powerful.","удар

## Footnote

Удар боксёра был невероятно мощным."
"# Translate:

extreme

## Footnote

He faced extreme weather conditions.","крайний

## Footnote

Он столкнулся с крайними погодными условиями."
"# Translate:

base

## Footnote

We established a new military base.","база

## Footnote

Мы создали новую военную базу."
"# Translate:

necessity

## Footnote

Water is a basic human necessity.","необходимость

## Footnote

Вода является основной человеческой необходимостью."
"# Translate:

stop

## Footnote

Please stop talking now.","остановиться

## Footnote

Пожалуйста, остановитесь говорить сейчас."
"# Translate:

mean

## Footnote

""What does this symbol mean?""","означать

## Footnote

""Что означает этот символ?"""
"# Translate:

to appear

## Footnote

He began to appear more confident.","появляться

## Footnote

Он начал появляться более уверенным."
"# Translate:

daughter

## Footnote

My daughter loves to paint.","дочь

## Footnote

Моя дочь любит рисовать."
"# Translate:

please

## Footnote

Please pass the salt.","пожалуйста

## Footnote

Пожалуйста, передай соль."
"# Translate:

republic

## Footnote

France is a republic, not a monarchy.","республика

## Footnote

Франция - республика, а не монархия."
"# Translate:

performance

## Footnote

The theater's performance was captivating.","представление

## Footnote

Представление в театре было захватывающим."
"# Translate:

to put

## Footnote

I need to put the book back.","ставить

## Footnote

Мне нужно поставить книгу обратно."
"# Translate:

hair

## Footnote

She brushed her long, silky hair.","волос

## Footnote

Она расчесывала свои длинные шелковистые волосы."
"# Translate:

faith

## Footnote

She never lost her faith.","вера

## Footnote

Она никогда не потеряла свою веру."
"# Translate:

bring

## Footnote

Please bring me a glass of water.","принести

## Footnote

Пожалуйста, принесите мне стакан воды."
"# Translate:

to be called

## Footnote

This dish is to be called ""Borscht.""","называться

## Footnote

Это блюдо должно называться ""Борщ""."
"# Translate:

absence

## Footnote

His absence was deeply felt.","отсутствие

## Footnote

Его отсутствие глубоко ощущалось."
"# Translate:

mass

## Footnote

The mass of the object increased.","масса

## Footnote

Масса объекта увеличилась."
"# Translate:

percent

## Footnote

I saved ten percent today.","процент

## Footnote

Я сэкономил десять процентов сегодня."
"# Translate:

choose

## Footnote

Please choose your favorite color.","выбрать

## Footnote

Пожалуйста, выберите ваш любимый цвет."
"# Translate:

student

## Footnote

The student aced the exam.","студент

## Footnote

Студент сдал экзамен на отлично."
"# Translate:

building

## Footnote

The building stood tall and proud.","здание

## Footnote

Здание стояло высоко и гордо."
"# Translate:

guys

## Footnote

Hey guys, let's go out tonight!","ребята

## Footnote

Привет, ребята, давайте сегодня вечером выйдем на улицу!"
"# Translate:

corner

## Footnote

Meet me at the street corner.","угол

## Footnote

Встреть меня на углу улицы."
"# Translate:

specific

## Footnote

Specify a specific example, please.","конкретный

## Footnote

Укажите, пожалуйста, конкретный пример."
"# Translate:

speed

## Footnote

The car's speed was incredible.","скорость

## Footnote

Скорость машины была невероятной."
"# Translate:

agree

## Footnote

I agree with your suggestion.","согласиться

## Footnote

Я согласен с вашим предложением."
"# Translate:

requirement

## Footnote

Meeting the requirement is essential.","требование

## Footnote

Удовлетворение требования является необходимым."
"# Translate:

favorite

## Footnote

She's my favorite teacher.","любимый

## Footnote

Она моя любимая учительница."
"# Translate:

May

## Footnote

May brings beautiful flowers.","май

## Footnote

Май приносит красивые цветы."
"# Translate:

to approach

## Footnote

Time to approach the problem differently.","подходить

## Footnote

Пора подходить к проблеме по-другому."
"# Translate:

to run

## Footnote

I need to run to catch the bus.","бежать

## Footnote

Мне нужно бежать, чтобы успеть на автобус."
"# Translate:

address

## Footnote

Please provide your address.","адрес

## Footnote

Пожалуйста, укажите ваш адрес."
"# Translate:

visible

## Footnote

Stars are visible at night.","видно

## Footnote

Звезды видно ночью."
"# Translate:

news

## Footnote

I read interesting news today.","новость

## Footnote

Я прочитал интересную новость сегодня."
"# Translate:

list

## Footnote

Check the shopping list.","список

## Footnote

Проверь список покупок."
"# Translate:

to return

## Footnote

I plan to return home soon.","возвращаться

## Footnote

Я планирую скоро вернуться домой."
"# Translate:

energy

## Footnote

Renewable energy is the future.","энергия

## Footnote

Возобновляемая энергия - это будущее."
"# Translate:

conclusion

## Footnote

The conclusion was surprisingly accurate.","вывод

## Footnote

Вывод оказался удивительно точным."
"# Translate:

teacher

## Footnote

The teacher explained the lesson clearly.","учитель

## Footnote

Учитель объяснил урок ясно."
"# Translate:

contract

## Footnote

Sign the contract tomorrow.","договор

## Footnote

Подпишите договор завтра."
"# Translate:

remove

## Footnote

Please remove your shoes inside.","снять

## Footnote

Пожалуйста, снимите обувь внутри."
"# Translate:

depend

## Footnote

Success may depend on hard work.","зависеть

## Footnote

Успех может зависеть от тяжелой работы."
"# Translate:

sphere

## Footnote

The Earth is a giant sphere.","сфера

## Footnote

Земля - это гигантская сфера."
"# Translate:

western

## Footnote

The western sky glowed red.","западный

## Footnote

Западное небо светилось красным."
"# Translate:

necessarily

## Footnote

Not necessarily the best solution.","обязательно

## Footnote

Не обязательно лучшее решение."
"# Translate:

German

## Footnote

I'm learning German at school.","немецкий

## Footnote

Я изучаю немецкий в школе."
"# Translate:

approximately

## Footnote

It costs approximately $200.","примерно

## Footnote

Это стоит примерно 200 долларов."
"# Translate:

pain

## Footnote

He felt immense pain in his leg.","боль

## Footnote

Он почувствовал огромную боль в ноге."
"# Translate:

safety

## Footnote

Safety is our top priority.","безопасность

## Footnote

Безопасность - наш главный приоритет."
"# Translate:

function

## Footnote

The app's function is very useful.","функция

## Footnote

Функция приложения очень полезна."
"# Translate:

badly

## Footnote

He performed badly on the test.","плохо

## Footnote

Он плохо сдал тест."
"# Translate:

certain

## Footnote

A certain someone missed the meeting.","некий

## Footnote

Некий кто-то пропустил встречу."
"# Translate:

ability

## Footnote

She demonstrated her ability to sing.","способность

## Footnote

Она продемонстрировала свою способность петь."
"# Translate:

bank

## Footnote

I deposited money in the bank.","банк

## Footnote

Я положил деньги в банк."
"# Translate:

pleasure

## Footnote

Reading brings me immense pleasure.","удовольствие

## Footnote

Чтение приносит мне огромное удовольствие."
"# Translate:

alien

## Footnote

He felt alien among them.","чужой

## Footnote

Он чувствовал себя чужим среди них."
"# Translate:

sensation

## Footnote

I felt a strange sensation.","ощущение

## Footnote

Я почувствовал странное ощущение."
"# Translate:

opponent

## Footnote

He underestimated his opponent's skill.","противник

## Footnote

Он недооценил умение своего противника."
"# Translate:

no way

## Footnote

No way I'm doing that.","никак

## Footnote

Никак я это делать не буду."
"# Translate:

define

## Footnote

Please define the term clearly.","определить

## Footnote

Пожалуйста, четко определите термин."
"# Translate:

writer

## Footnote

The writer published a new novel.","писатель

## Footnote

Писатель опубликовал новый роман."
"# Translate:

star

## Footnote

The night sky sparkled with stars.","звезда

## Footnote

Ночное небо сияло звездами."
"# Translate:

to create

## Footnote

Artists love to create beauty.","создавать

## Footnote

Художники любят создавать красоту."
"# Translate:

sign

## Footnote

Look for the road sign ahead.","знак

## Footnote

Ищите дорожный знак впереди."
"# Translate:

at all

## Footnote

He didn't complain at all.","вовсе

## Footnote

Он вовсе не жаловался."
"# Translate:

confident

## Footnote

He felt confident in his decision.","уверенный

## Footnote

Он чувствовал себя уверенным в своем решении."
"# Translate:

influence

## Footnote

Celebrities have significant social influence.","влияние

## Footnote

У знаменитостей значительное социальное влияние."
"# Translate:

breast

## Footnote

She held the baby to her breast.","грудь

## Footnote

Она прижала ребенка к своей груди."
"# Translate:

control

## Footnote

He lost control of the car.","контроль

## Footnote

Он потерял контроль над машиной."
"# Translate:

yard

## Footnote

Kids played soccer in the yard.","двор

## Footnote

Дети играли в футбол во дворе."
"# Translate:

simultaneously

## Footnote

They arrived simultaneously at the party.","одновременно

## Footnote

Они прибыли на вечеринку одновременно."
"# Translate:

joy

## Footnote

Her smile was pure joy.","радость

## Footnote

Её улыбка была чистой радостью."
"# Translate:

tomorrow

## Footnote

I'll start my diet tomorrow.","завтра

## Footnote

Я начну свою диету завтра."
"# Translate:

older

## Footnote

He is my older brother.","старший

## Footnote

Он мой старший брат."
"# Translate:

declare

## Footnote

They will declare their intentions tomorrow.","заявить

## Footnote

Они заявят о своих намерениях завтра."
"# Translate:

impression

## Footnote

Her performance left a strong impression.","впечатление

## Footnote

Её выступление оставило сильное впечатление."
"# Translate:

practice

## Footnote

She needs more practice in piano.","практика

## Footnote

Ей нужна больше практики в игре на пианино."
