Question,Answer
"# Translate:

supply

## Footnote

We must increase our water supply.","suministro

## Footnote

Debemos aumentar nuestro suministro de agua."
"# Translate:

to cooperate

## Footnote

We must cooperate to solve this.","cooperar

## Footnote

Debemos cooperar para resolver esto."
"# Translate:

Latin

## Footnote

I'm learning Latin this semester.","latín

## Footnote

Estoy aprendiendo latín este semestre."
"# Translate:

established

## Footnote

The company was established in 1985.","establecido

## Footnote

La empresa fue establecida en 1985."
"# Translate:

I lived

## Footnote

I lived in Spain for a year.","viví

## Footnote

Viví en España por un año."
"# Translate:

adoption

## Footnote

They celebrated their daughter's adoption day.","adopción

## Footnote

Celebraron el día de adopción de su hija."
"# Translate:

butler

## Footnote

The butler polished the silver meticulously.","mayordomo

## Footnote

El mayordomo pulió la plata meticulosamente."
"# Translate:

takeoff

## Footnote

The plane's takeoff was incredibly smooth.","despegue

## Footnote

El despegue del avión fue increíblemente suave."
"# Translate:

avatar

## Footnote

Choose your game avatar wisely.","avatar

## Footnote

Elige tu avatar de juego con sabiduría."
"# Translate:

whore, prostitute

## Footnote

She worked as a prostitute downtown.","ramera

## Footnote

Ella trabajó como ramera en el centro."
"# Translate:

harassment

## Footnote

She reported workplace harassment immediately.","acoso

## Footnote

Ella denunció el acoso laboral inmediatamente."
"# Translate:

to sacrifice

## Footnote

She will sacrifice everything for her family.","sacrificar

## Footnote

Ella sacrificará todo por su familia."
"# Translate:

to hate

## Footnote

I hate injustice deeply.","odiar

## Footnote

Odio profundamente la injusticia."
"# Translate:

garbage can

## Footnote

The garbage can is full.","basurero

## Footnote

El basurero está lleno."
"# Translate:

fast

## Footnote

The cheetah runs fast.","veloz

## Footnote

El guepardo corre veloz."
"# Translate:

located

## Footnote

The keys are located on the table.","localizado

## Footnote

Las llaves están localizadas sobre la mesa."
"# Translate:

fence

## Footnote

The garden is surrounded by a fence.","valla

## Footnote

El jardín está rodeado por una valla."
"# Translate:

picnic

## Footnote

We planned a picnic for Saturday.","picnic

## Footnote

Planeamos un picnic para el sábado."
"# Translate:

bacon

## Footnote

I cooked bacon for breakfast today.","tocino

## Footnote

Hoy cociné tocino para el desayuno."
"# Translate:

scheduled

## Footnote

The meeting is scheduled for tomorrow.","programado

## Footnote

La reunión está programada para mañana."
"# Translate:

villain

## Footnote

The villain escaped into the night.","villano

## Footnote

El villano escapó en la noche."
"# Translate:

activated

## Footnote

The alarm system was activated.","activado

## Footnote

El sistema de alarma fue activado."
"# Translate:

to knock down

## Footnote

They plan to knock down the wall.","derribar

## Footnote

Planean derribar la pared."
"# Translate:

insult

## Footnote

He did not accept the insult.","insulto

## Footnote

No aceptó el insulto."
"# Translate:

urgency

## Footnote

Feel the urgency of the situation.","urgencia

## Footnote

Siente la urgencia de la situación."
"# Translate:

snitch

## Footnote

He will snitch to the police.","soplón

## Footnote

Él será un soplón con la policía."
"# Translate:

put it (imperative, tú, feminine object)

## Footnote

Put it on the table, please.","ponla

## Footnote

Ponla en la mesa, por favor."
"# Translate:

gently

## Footnote

She gently stroked the cat's fur.","suavemente

## Footnote

Ella acarició suavemente el pelaje del gato."
"# Translate:

industrial

## Footnote

The industrial sector is expanding rapidly.","industrial

## Footnote

El sector industrial se está expandiendo rápidamente."
"# Translate:

screw you

## Footnote

Screw you, I'm not doing it.","púdrete

## Footnote

Púdrete, no lo voy a hacer."
"# Translate:

abortion

## Footnote

She considered getting an abortion.","aborto

## Footnote

Ella consideró la posibilidad de someterse a un aborto."
"# Translate:

landscape, scenery

## Footnote

The landscape took my breath away.","paisaje

## Footnote

El paisaje me dejó sin aliento."
"# Translate:

to rent

## Footnote

I need to rent an apartment.","alquilar

## Footnote

Necesito alquilar un apartamento."
"# Translate:

mute, silent

## Footnote

He was mute after the accident.","mudo

## Footnote

Quedó mudo después del accidente."
"# Translate:

rooster

## Footnote

The rooster crowed at dawn.","gallo

## Footnote

El gallo cantó al amanecer."
"# Translate:

virtue

## Footnote

Patience is a great virtue.","virtud

## Footnote

La paciencia es una gran virtud."
"# Translate:

placed

## Footnote

She placed the book on the shelf.","colocado

## Footnote

Ella ha colocado el libro en el estante."
"# Translate:

antidote

## Footnote

The snake bite needed an antidote.","antídoto

## Footnote

La mordedura de serpiente necesitaba un antídoto."
"# Translate:

psychology

## Footnote

I'm studying psychology at university.","psicología

## Footnote

Estoy estudiando psicología en la universidad."
"# Translate:

starboard

## Footnote

Turn the ship to starboard.","estribor

## Footnote

Gira el barco hacia estribor."
"# Translate:

deceased

## Footnote

The deceased was honored at the funeral.","difunto

## Footnote

El difunto fue honrado en el funeral."
"# Translate:

lady, mrs.

## Footnote

The lady owns a vast estate.","doña

## Footnote

La doña posee una vasta hacienda."
"# Translate:

warm

## Footnote

The weather in this city is warm.","cálido

## Footnote

El clima en esta ciudad es cálido."
"# Translate:

disappointment

## Footnote

The news brought great disappointment.","decepción

## Footnote

La noticia trajo una gran decepción."
"# Translate:

artifact

## Footnote

The museum displayed an ancient artifact.","artefacto

## Footnote

El museo exhibió un artefacto antiguo."
"# Translate:

fraternity

## Footnote

He found brotherhood in his fraternity.","fraternidad

## Footnote

Encontró hermandad en su fraternidad."
"# Translate:

to experiment

## Footnote

I love to experiment with recipes.","experimentar

## Footnote

Me encanta experimentar con recetas."
"# Translate:

to push

## Footnote

Please push the door open.","empujar

## Footnote

Por favor, empuja la puerta para abrirla."
"# Translate:

unfaithful

## Footnote

He was unfaithful to his wife.","infiel

## Footnote

Fue infiel a su esposa."
"# Translate:

delay

## Footnote

The flight delay frustrated passengers.","demora

## Footnote

La demora del vuelo frustró a los pasajeros."
"# Translate:

to execute

## Footnote

They will execute the plan tomorrow.","ejecutar

## Footnote

Ejecutarán el plan mañana."
"# Translate:

run (subjunctive)

## Footnote

It's important that I run every day.","corra

## Footnote

Es importante que corra todos los días."
"# Translate:

precision

## Footnote

Surgery requires utmost precision.","precisión

## Footnote

La cirugía requiere la máxima precisión."
"# Translate:

living

## Footnote

Living creatures need water.","viviente

## Footnote

Los seres vivientes necesitan agua."
"# Translate:

benefit

## Footnote

The farmworkers received little benefit from the season's harvest.","provecho

## Footnote

La temporada fue de poco provecho para los campesinos."
"# Translate:

perpetual

## Footnote

She faced perpetual challenges.","perpetua

## Footnote

Ella enfrentó desafíos perpetuos."
"# Translate:

carriage

## Footnote

The carriage awaited outside the castle.","carruaje

## Footnote

El carruaje esperaba fuera del castillo."
"# Translate:

male, masculine

## Footnote

Male flowers have stamens.","masculino

## Footnote

Las flores masculinas tienen estambres."
"# Translate:

catches

## Footnote

The cat catches the mouse quickly.","atrapa

## Footnote

El gato atrapa al ratón rápidamente."
"# Translate:

phenomenal

## Footnote

Her singing voice is truly phenomenal.","fenomenal

## Footnote

Su voz de canto es verdaderamente fenomenal."
"# Translate:

rejection

## Footnote

His proposal met with immediate rejection.","rechazo

## Footnote

Su propuesta se encontró con un rechazo inmediato."
"# Translate:

slaughter

## Footnote

The slaughter of animals is regulated.","matanza

## Footnote

La matanza de animales está regulada."
"# Translate:

directed

## Footnote

She directed the play brilliantly.","dirigido

## Footnote

Ella ha dirigido la obra brillantemente."
