Question,Answer
"# Translate:

garden

## Footnote

I love my garden.","сад

## Footnote

Я люблю свой сад."
"# Translate:

kitchen

## Footnote

I love the kitchen.","кухня

## Footnote

Я люблю кухню."
"# Translate:

pocket

## Footnote

I have a pocket.","карман

## Footnote

У меня есть карман."
"# Translate:

childhood

## Footnote

I remember my childhood.","детство

## Footnote

Я помню своё детство."
"# Translate:

doubt

## Footnote

I have no doubt.","сомнение

## Footnote

У меня нет сомнений."
"# Translate:

hundred

## Footnote

I have a hundred dollars.","сотня

## Footnote

У меня есть сотня долларов."
"# Translate:

plot

## Footnote

They bought a plot near the house.","участок

## Footnote

Они купили участок рядом с домом."
"# Translate:

promise

## Footnote

I promise to come.","обещать

## Footnote

Я обещаю прийти."
"# Translate:

according to

## Footnote

According to the law, this is so.","согласно

## Footnote

Согласно закону, это так."
"# Translate:

construction

## Footnote

Construction of the house began today.","строительство

## Footnote

Строительство дома началось сегодня."
"# Translate:

beer

## Footnote

I drink beer every day.","пиво

## Footnote

Я пью пиво каждый день."
"# Translate:

disappear

## Footnote

The man disappeared.","исчезнуть

## Footnote

Человек исчез."
"# Translate:

thin

## Footnote

The paper is thin.","тонкий

## Footnote

Бумага тонкая."
"# Translate:

forgive

## Footnote

Please forgive my answer.","простить

## Footnote

Пожалуйста, простите мой ответ."
"# Translate:

device

## Footnote

The device does not work.","устройство

## Footnote

Устройство не работает."
"# Translate:

laugh

## Footnote

We laughed.","смеяться

## Footnote

Мы смеялись."
"# Translate:

rich

## Footnote

He became rich.","богатый

## Footnote

Он стал богатым."
"# Translate:

bright

## Footnote

The light is bright.","яркий

## Footnote

Свет яркий."
"# Translate:

to correspond

## Footnote

This does not correspond to the fact.","соответствовать

## Footnote

Это не соответствует факту."
"# Translate:

tear

## Footnote

A tear fell.","слеза

## Footnote

Слеза упала."
"# Translate:

agreeable

## Footnote

He is agreeable to this.","согласный

## Footnote

Он согласен на это."
"# Translate:

library

## Footnote

I work at the library.","библиотека

## Footnote

Я работаю в библиотеке."
"# Translate:

communication

## Footnote

Communication is important.","общение

## Footnote

Общение важно."
"# Translate:

particularity

## Footnote

I see this particularity in his work.","особенность

## Footnote

Я вижу эту особенность в его работе."
"# Translate:

to fulfill

## Footnote

He wants to fulfill this.","выполнить

## Footnote

Он хочет выполнить это."
"# Translate:

faithful

## Footnote

He is faithful to her.","верный

## Footnote

Он верен ей."
"# Translate:

difference

## Footnote

I see the difference.","отличие

## Footnote

Я вижу отличие."
"# Translate:

train

## Footnote

The train came in the morning.","поезд

## Footnote

Поезд пришёл утром."
"# Translate:

official

## Footnote

This is official news.","официальный

## Footnote

Это официальная новость."
"# Translate:

products

## Footnote

Their products are good.","продукция

## Footnote

Их продукция хорошая."
"# Translate:

application

## Footnote

The application of this is important.","применение

## Footnote

Применение этого важно."
"# Translate:

tsar

## Footnote

The tsar had great power.","царь

## Footnote

У царя была большая власть."
"# Translate:

take place

## Footnote

The event will take place today.","состояться

## Footnote

Событие состоится сегодня."
"# Translate:

stream

## Footnote

The stream never stopped.","поток

## Footnote

Поток никогда не остановился."
"# Translate:

benefit

## Footnote

There is benefit in this work.","польза

## Footnote

В этой работе есть польза."
"# Translate:

to interfere

## Footnote

Do not interfere with my work.","мешать

## Footnote

Не мешай моей работе."
"# Translate:

cross

## Footnote

We can cross the street.","перейти

## Footnote

Мы можем перейти улицу."
"# Translate:

mood

## Footnote

Her mood is good.","настроение

## Footnote

У неё хорошее настроение."
"# Translate:

gradually

## Footnote

He gradually understood this.","постепенно

## Footnote

Он постепенно понял это."
"# Translate:

editorial office

## Footnote

I work in the editorial office.","редакция

## Footnote

Я работаю в редакции."
"# Translate:

something

## Footnote

I know something.","нечто

## Footnote

Я знаю нечто."
