Question,Answer
"# Translate:

to have to

## Footnote

I have to work late today.","приходиться

## Footnote

Мне приходится работать до поздна сегодня."
"# Translate:

knowledge

## Footnote

Knowledge is power.","знание

## Footnote

Знание - сила."
"# Translate:

enter

## Footnote

Please enter the room quietly.","войти

## Footnote

Пожалуйста, войдите в комнату тихо."
"# Translate:

to offer

## Footnote

I have something to offer you.","предложить

## Footnote

У меня есть что вам предложить."
"# Translate:

to begin

## Footnote

The meeting will begin soon.","начаться

## Footnote

Встреча скоро начнётся."
"# Translate:

ten

## Footnote

I have ten books.","десять

## Footnote

У меня десять книг."
"# Translate:

finger

## Footnote

Look at your finger.","палец

## Footnote

Посмотри на свой палец."
"# Translate:

usual

## Footnote

He wants his usual tea.","обычный

## Footnote

Он хочет свой обычный чай."
"# Translate:

organ

## Footnote

The heart is an important organ.","орган

## Footnote

Сердце - важный орган."
"# Translate:

dollar

## Footnote

I found a dollar yesterday.","доллар

## Footnote

Я нашёл доллар вчера."
"# Translate:

to hold

## Footnote

Hold my hand.","держать

## Footnote

Держи мою руку."
"# Translate:

title

## Footnote

What is the title of the book?","название

## Footnote

Какое название у книги?"
"# Translate:

participation

## Footnote

His participation is important.","участие

## Footnote

Его участие важно."
"# Translate:

to arrive

## Footnote

They hope to arrive today.","приехать

## Footnote

Они надеются приехать сегодня."
"# Translate:

large

## Footnote

This is a large city.","крупный

## Footnote

Это крупный город."
"# Translate:

sea

## Footnote

I see the sea.","море

## Footnote

Я вижу море."
"# Translate:

nature

## Footnote

Nature is beautiful.","природа

## Footnote

Природа красивая."
"# Translate:

store

## Footnote

I bought a book at the store.","магазин

## Footnote

Я купил книгу в магазине."
"# Translate:

like

## Footnote

I need something like this.","вроде

## Footnote

Мне нужно что-то вроде этого."
"# Translate:

memory

## Footnote

I have a good memory.","память

## Footnote

У меня хорошая память."
"# Translate:

larger

## Footnote

Choose the larger house, please.","больший

## Footnote

Выберите, пожалуйста, больший дом."
"# Translate:

home

## Footnote

I'm going home now.","домой

## Footnote

Я иду домой сейчас."
