Question,Answer
"# Translate:

mission

## Footnote

This is an important mission.","миссия

## Footnote

Это важная миссия."
"# Translate:

ton

## Footnote

We need a ton of water.","тонна

## Footnote

Нам нужна тонна воды."
"# Translate:

horizon

## Footnote

The sun is on the horizon.","горизонт

## Footnote

Солнце на горизонте."
"# Translate:

assure

## Footnote

I want to assure you.","уверить

## Footnote

Я хочу уверить вас."
"# Translate:

sugar

## Footnote

I need more sugar.","сахар

## Footnote

Мне нужно больше сахара."
"# Translate:

evolution

## Footnote

This is about evolution.","эволюция

## Footnote

Это об эволюции."
"# Translate:

furniture

## Footnote

We have new furniture.","мебель

## Footnote

У нас новая мебель."
"# Translate:

typical

## Footnote

This is a typical day.","типичный

## Footnote

Это типичный день."
"# Translate:

desert

## Footnote

The desert is large.","пустыня

## Footnote

Пустыня большая."
"# Translate:

original

## Footnote

This idea is original.","оригинальный

## Footnote

Эта идея оригинальная."
"# Translate:

offense

## Footnote

She feels offense.","обида

## Footnote

Она чувствует обиду."
"# Translate:

combination

## Footnote

This is a good combination.","сочетание

## Footnote

Это хорошее сочетание."
"# Translate:

armament

## Footnote

The country needs new armament.","вооружение

## Footnote

Стране нужно новое вооружение."
"# Translate:

cup

## Footnote

I need a cup.","чашка

## Footnote

Мне нужна чашка."
"# Translate:

prosecutor's office

## Footnote

He works in the prosecutor's office.","прокуратура

## Footnote

Он работает в прокуратуре."
"# Translate:

congress

## Footnote

The congress is tomorrow.","съезд

## Footnote

Съезд завтра."
"# Translate:

acquisition

## Footnote

This is a new acquisition.","приобретение

## Footnote

Это новое приобретение."
"# Translate:

schedule

## Footnote

Check the schedule.","график

## Footnote

Проверьте график."
"# Translate:

philosopher

## Footnote

He is a philosopher.","философ

## Footnote

Он философ."
"# Translate:

to hand in

## Footnote

I hand in the work.","сдавать

## Footnote

Я сдаю работу."
"# Translate:

tribe

## Footnote

The tribe is large.","племя

## Footnote

Племя большое."
"# Translate:

branch

## Footnote

A bird sits on the branch.","ветка

## Footnote

Птица сидит на ветке."
"# Translate:

to encounter

## Footnote

I do not want to encounter him.","сталкиваться

## Footnote

Я не хочу сталкиваться с ним."
"# Translate:

anger

## Footnote

I see his anger.","гнев

## Footnote

Я вижу его гнев."
"# Translate:

postal

## Footnote

Check your postal address.","почтовый

## Footnote

Проверьте ваш почтовый адрес."
"# Translate:

weakness

## Footnote

This is my weakness.","слабость

## Footnote

Это моя слабость."
"# Translate:

entirely

## Footnote

He read the book entirely.","целиком

## Footnote

Он прочитал книгу целиком."
"# Translate:

consultant

## Footnote

He is a consultant.","консультант

## Footnote

Он консультант."
"# Translate:

fortress

## Footnote

The fortress is old.","крепость

## Footnote

Крепость старая."
"# Translate:

to divide

## Footnote

We need to divide the work.","разделять

## Footnote

Нам нужно разделять работу."
"# Translate:

to understand

## Footnote

He wants to understand cars.","разбираться

## Footnote

Он хочет разбираться в машинах."
"# Translate:

governance

## Footnote

His governance was good.","правление

## Footnote

Его правление было хорошим."
"# Translate:

sweet

## Footnote

The tea is sweet.","сладкий

## Footnote

Чай сладкий."
"# Translate:

trunk

## Footnote

The tree trunk is thick.","ствол

## Footnote

Ствол дерева толстый."
"# Translate:

to complete

## Footnote

I need to complete the work.","завершить

## Footnote

Мне нужно завершить работу."
"# Translate:

to wait for

## Footnote

I need to wait for him.","дождаться

## Footnote

Мне нужно дождаться его."
"# Translate:

independence

## Footnote

They want independence.","независимость

## Footnote

Они хотят независимости."
"# Translate:

recent

## Footnote

I read a recent article.","недавний

## Footnote

Я прочитал недавнюю статью."
"# Translate:

valley

## Footnote

The valley is large.","долина

## Footnote

Долина большая."
"# Translate:

bring to

## Footnote

He can bring the work to an end.","довести

## Footnote

Он может довести работу до конца."
"# Translate:

catalog

## Footnote

I have a furniture catalog.","каталог

## Footnote

У меня есть каталог мебели."
"# Translate:

fence

## Footnote

There is a fence around the house.","забор

## Footnote

Вокруг дома есть забор."
"# Translate:

photo

## Footnote

I have a new photo.","фото

## Footnote

У меня есть новое фото."
"# Translate:

severe

## Footnote

The winter was severe.","суровый

## Footnote

Зима была суровой."
"# Translate:

incredible

## Footnote

The news is incredible.","невероятный

## Footnote

Новость невероятная."
"# Translate:

gratitude

## Footnote

I want to show my gratitude.","благодарность

## Footnote

Я хочу показать свою благодарность."
"# Translate:

instantly

## Footnote

He instantly knows this.","мгновенно

## Footnote

Он мгновенно знает это."
"# Translate:

overcome

## Footnote

She will overcome this.","преодолеть

## Footnote

Она преодолеет это."
"# Translate:

to scare

## Footnote

Do not scare me.","пугать

## Footnote

Не пугай меня."
"# Translate:

to kiss

## Footnote

She likes to kiss him.","целовать

## Footnote

Она любит целовать его."
"# Translate:

to get scared

## Footnote

I do not want to get scared.","испугаться

## Footnote

Я не хочу испугаться."
"# Translate:

despair

## Footnote

I see her despair.","отчаяние

## Footnote

Я вижу её отчаяние."
"# Translate:

no time

## Footnote

I have no time.","некогда

## Footnote

Мне некогда."
"# Translate:

award

## Footnote

This is her award.","награда

## Footnote

Это её награда."
"# Translate:

ordinary

## Footnote

It was an ordinary day.","обыкновенный

## Footnote

Это был обыкновенный день."
"# Translate:

prey

## Footnote

The animal sees the prey.","добыча

## Footnote

Животное видит добычу."
"# Translate:

peculiar

## Footnote

His taste is peculiar.","своеобразный

## Footnote

Его вкус своеобразный."
"# Translate:

disgusting

## Footnote

This smell is disgusting.","противный

## Footnote

Этот запах противный."
"# Translate:

kingdom

## Footnote

The kingdom is large.","царство

## Footnote

Царство большое."
"# Translate:

brightly

## Footnote

The fire burns brightly.","ярко

## Footnote

Огонь горит ярко."
"# Translate:

revolutionary

## Footnote

His idea is revolutionary.","революционный

## Footnote

Его идея революционная."
"# Translate:

flow

## Footnote

The river can flow.","течь

## Footnote

Река может течь."
"# Translate:

well done

## Footnote

Well done, my friend.","молодец

## Footnote

Молодец, мой друг."
"# Translate:

cheat

## Footnote

He can cheat on her.","изменять

## Footnote

Он может изменять ей."
"# Translate:

to pursue

## Footnote

They want to pursue him.","преследовать

## Footnote

Они хотят преследовать его."
"# Translate:

corporate

## Footnote

This is corporate culture.","корпоративный

## Footnote

Это корпоративная культура."
"# Translate:

mutual

## Footnote

Our respect is mutual.","взаимный

## Footnote

Наше уважение взаимное."
"# Translate:

sovereign

## Footnote

The sovereign is in the city.","государь

## Footnote

Государь в городе."
"# Translate:

legend

## Footnote

He is a legend.","легенда

## Footnote

Он легенда."
"# Translate:

opposition

## Footnote

The opposition is strong.","оппозиция

## Footnote

Оппозиция сильная."
"# Translate:

establishment

## Footnote

The establishment of peace is important.","установление

## Footnote

Установление мира важно."
"# Translate:

by means of

## Footnote

He can speak by means of a letter.","посредством

## Footnote

Он может говорить посредством письма."
"# Translate:

up to

## Footnote

He worked up to the end.","вплоть

## Footnote

Он работал вплоть до конца."
"# Translate:

to yell

## Footnote

He wants to yell.","орать

## Footnote

Он хочет орать."
"# Translate:

demonstrate

## Footnote

She can demonstrate her work.","демонстрировать

## Footnote

Она может демонстрировать свою работу."
"# Translate:

digital

## Footnote

This is a digital photo.","цифровой

## Footnote

Это цифровое фото."
"# Translate:

assumption

## Footnote

His assumption is bad.","предположение

## Footnote

Его предположение плохое."
"# Translate:

plate

## Footnote

The plate is on the table.","тарелка

## Footnote

Тарелка на столе."
"# Translate:

storage

## Footnote

We need a place for storage.","хранение

## Footnote

Нам нужно место для хранения."
"# Translate:

noble

## Footnote

He is a noble man.","благородный

## Footnote

Он благородный человек."
"# Translate:

to threaten

## Footnote

He wants to threaten me.","грозить

## Footnote

Он хочет грозить мне."
"# Translate:

stick out

## Footnote

The key sticks out.","торчать

## Footnote

Ключ торчит."
"# Translate:

publishing house

## Footnote

The publishing house needs a new book.","издательство

## Footnote

Издательству нужна новая книга."
"# Translate:

failure

## Footnote

This is a failure.","неудача

## Footnote

Это неудача."
"# Translate:

cannon

## Footnote

The cannon is old.","пушка

## Footnote

Пушка старая."
"# Translate:

municipal

## Footnote

This is a municipal school.","муниципальный

## Footnote

Это муниципальная школа."
"# Translate:

shell

## Footnote

The shell is nearby.","снаряд

## Footnote

Снаряд рядом."
"# Translate:

crazy

## Footnote

He is crazy.","сумасшедший

## Footnote

Он сумасшедший."
"# Translate:

wisdom

## Footnote

I need wisdom.","мудрость

## Footnote

Мне нужна мудрость."
"# Translate:

gloomy

## Footnote

The sky is gloomy today.","мрачный

## Footnote

Небо сегодня мрачное."
"# Translate:

executive

## Footnote

This is executive power.","исполнительный

## Footnote

Это исполнительная власть."
"# Translate:

nucleus

## Footnote

The nucleus is in the center.","ядро

## Footnote

Ядро в центре."
"# Translate:

historian

## Footnote

The historian reads about the past.","историк

## Footnote

Историк читает о прошлом."
"# Translate:

virtual

## Footnote

This is a virtual world.","виртуальный

## Footnote

Это виртуальный мир."
"# Translate:

stretch

## Footnote

I like to stretch in the morning.","тянуться

## Footnote

Я люблю тянуться утром."
"# Translate:

ancestor

## Footnote

He is my ancestor.","предок

## Footnote

Он мой предок."
"# Translate:

juice

## Footnote

I drink juice every morning.","сок

## Footnote

Я пью сок каждое утро."
"# Translate:

to swim

## Footnote

I want to swim to the other side.","плыть

## Footnote

Я хочу плыть на другую сторону."
"# Translate:

loud

## Footnote

The music is loud.","громкий

## Footnote

Музыка громкая."
"# Translate:

reasoning

## Footnote

I hear his reasoning.","рассуждение

## Footnote

Я слышу его рассуждение."
