Question,Answer
"# Translate:

дар

## Footnote

У неё дар.","gift, talent

## Footnote

She has a gift."
"# Translate:

рекомендация

## Footnote

По рекомендации врача.","recommendation

## Footnote

On the doctor's recommendation."
"# Translate:

лекарство

## Footnote

Где моё лекарство?","medicine

## Footnote

Where's my medicine?"
"# Translate:

максимальный

## Footnote

Максимальная цена?","maximum

## Footnote

The maximum price?"
"# Translate:

объявление

## Footnote

Видел объявление?","notice, ad

## Footnote

Did you see the notice?"
"# Translate:

минимальный

## Footnote

Минимальный набор.","minimum

## Footnote

The minimum set."
"# Translate:

одинокий

## Footnote

Он такой одинокий.","lonely

## Footnote

He's so lonely."
"# Translate:

спуститься

## Footnote

Давай спустимся.","to go down

## Footnote

Let's go down."
"# Translate:

замечание

## Footnote

Мне сделали замечание.","reprimand, telling-off

## Footnote

I got a telling-off."
"# Translate:

карьера

## Footnote

Ей важна карьера.","career

## Footnote

Her career matters to her."
"# Translate:

отдыхать

## Footnote

Я дома отдыхаю.","to rest, to relax

## Footnote

I'm resting at home."
"# Translate:

стандартный

## Footnote

Это стандартный размер.","standard

## Footnote

That's a standard size."
"# Translate:

высказывание

## Footnote

Это странное высказывание.","statement

## Footnote

This is a strange statement."
"# Translate:

ловить

## Footnote

Лови меня!","to catch

## Footnote

Catch me!"
"# Translate:

шар

## Footnote

Где шар?","ball

## Footnote

Where's the ball?"
"# Translate:

запомнить

## Footnote

Запомни это.","to remember, to memorize

## Footnote

Remember this."
"# Translate:

политик

## Footnote

Он политик.","politician

## Footnote

He's a politician."
"# Translate:

несомненно

## Footnote

Он несомненно прав.","undoubtedly

## Footnote

He is undoubtedly right."
"# Translate:

альбом

## Footnote

Я хочу послушать новый альбом.","album

## Footnote

I want to hear the new album."
"# Translate:

вокзал

## Footnote

Ты на вокзале?","train station

## Footnote

Are you at the train station?"
"# Translate:

записка

## Footnote

Оставь записку.","note

## Footnote

Leave a note."
"# Translate:

разбить

## Footnote

Кто разбил стекло?","to break, to smash

## Footnote

Who broke the glass?"
"# Translate:

справедливость

## Footnote

Где справедливость?","justice, fairness

## Footnote

Where's the justice?"
"# Translate:

коротко

## Footnote

Скажи коротко.","briefly, in short

## Footnote

Say it briefly."
"# Translate:

страдание

## Footnote

Довольно страданий.","suffering

## Footnote

Enough suffering."
"# Translate:

нередко

## Footnote

Так нередко бывает.","often

## Footnote

That happens quite often."
"# Translate:

открываться

## Footnote

Дверь не открывается.","to open

## Footnote

The door won't open."
"# Translate:

осуществление

## Footnote

Осуществление займёт время.","implementation

## Footnote

Implementation will take time."
"# Translate:

дача

## Footnote

Едем на дачу?","dacha, country house

## Footnote

Shall we go to the dacha?"
"# Translate:

гарантия

## Footnote

Есть гарантия?","warranty, guarantee

## Footnote

Is there a warranty?"
"# Translate:

изделие

## Footnote

Вот наше изделие.","product, article

## Footnote

Here's our product."
"# Translate:

партийный

## Footnote

Партийное собрание завтра.","party (adj.)

## Footnote

The party meeting is tomorrow."
"# Translate:

космос

## Footnote

Хочу в космос.","space

## Footnote

I want to go to space."
"# Translate:

скорый

## Footnote

Скорый поезд здесь?","express, fast

## Footnote

Is the express train here?"
"# Translate:

привлекать

## Footnote

Что тебя привлекает?","to attract

## Footnote

What attracts you?"
"# Translate:

противоречие

## Footnote

Тут противоречие.","contradiction

## Footnote

There's a contradiction here."
"# Translate:

нервный

## Footnote

Я сегодня нервный.","nervous

## Footnote

I'm nervous today."
"# Translate:

отнюдь

## Footnote

Отнюдь нет.","not at all

## Footnote

Not at all."
"# Translate:

воевать

## Footnote

Мы не хотим воевать.","to wage war, to fight

## Footnote

We don't want to fight."
"# Translate:

могила

## Footnote

Где могила отца?","grave

## Footnote

Where's father's grave?"
"# Translate:

тест

## Footnote

Тест завтра.","test

## Footnote

The test is tomorrow."
"# Translate:

подъезд

## Footnote

Я у подъезда.","entrance, stairwell

## Footnote

I'm at the entrance."
