Question,Answer
"# Translate:

pagan

## Footnote

This is a pagan custom.","языческий

## Footnote

Это языческий обычай."
"# Translate:

to strain

## Footnote

He must strain.","напрячься

## Footnote

Он должен напрячься."
"# Translate:

Swede

## Footnote

The Swede lives in this city.","швед

## Footnote

Швед живёт в этом городе."
"# Translate:

allergy

## Footnote

She has an allergy to milk.","аллергия

## Footnote

У неё аллергия на молоко."
"# Translate:

insurmountable

## Footnote

The problem seemed insurmountable.","непреодолимый

## Footnote

Проблема казалась непреодолимой."
"# Translate:

Canadian

## Footnote

He loves Canadian winter.","канадский

## Footnote

Он любит канадскую зиму."
"# Translate:

feline

## Footnote

Her feline nature is clear.","кошачий

## Footnote

Её кошачья природа ясна."
"# Translate:

drug addiction

## Footnote

His drug addiction is a problem.","наркомания

## Footnote

Его наркомания — проблема."
"# Translate:

sweetness

## Footnote

I like the cake's sweetness.","сладость

## Footnote

Мне нравится сладость торта."
"# Translate:

to shrink

## Footnote

The fabric can shrink in water.","сесть

## Footnote

Ткань может сесть в воде."
"# Translate:

to inhale

## Footnote

I need to inhale deeply and slowly.","вдохнуть

## Footnote

Мне нужно глубоко и медленно вдохнуть."
"# Translate:

mortality

## Footnote

Mortality was high in this city.","смертность

## Footnote

Смертность была высокой в этом городе."
"# Translate:

ward

## Footnote

He became his ward after the tragedy.","подопечный

## Footnote

После трагедии он стал его подопечным."
"# Translate:

meal

## Footnote

The family began the meal.","приём пищи; трапеза (книжное)

## Footnote

Семья начала трапезу."
"# Translate:

blacksmith

## Footnote

The blacksmith made a new key.","кузнец

## Footnote

Кузнец сделал новый ключ."
"# Translate:

impudence

## Footnote

His impudence surprised me.","наглость

## Footnote

Его наглость меня удивила."
"# Translate:

bracelet

## Footnote

She received a gold bracelet as a gift.","браслет

## Footnote

Она получила в подарок золотой браслет."
"# Translate:

consult

## Footnote

We will consult a doctor tomorrow.","посоветоваться

## Footnote

Мы завтра посоветуемся с врачом."
"# Translate:

oddity

## Footnote

I noticed an oddity.","странность

## Footnote

Я заметил странность."
"# Translate:

imaginary

## Footnote

He saw an imaginary enemy.","мнимый

## Footnote

Он видел мнимого врага."
"# Translate:

mobilization

## Footnote

The mobilization began today.","мобилизация

## Footnote

Мобилизация началась сегодня."
"# Translate:

raven

## Footnote

A raven sat on the fence.","ворон

## Footnote

Ворон сидел на заборе."
"# Translate:

exacerbation

## Footnote

Stress led to the exacerbation of symptoms.","обострение

## Footnote

Стресс привёл к обострению симптомов."
"# Translate:

mischief

## Footnote

The boy loves mischief.","озорство

## Footnote

Мальчик любит озорство."
"# Translate:

strait

## Footnote

The ship navigated the narrow strait.","пролив

## Footnote

Корабль прошёл узкий пролив."
"# Translate:

hellish

## Footnote

The heat was hellish today.","адский

## Footnote

Жара сегодня была адская."
"# Translate:

attach

## Footnote

Attach the document to the letter.","прикрепить

## Footnote

Прикрепите документ к письму."
"# Translate:

to throw up

## Footnote

He threw his hands up.","вскинуть (руки и т. п.); вырвать (о рвоте)

## Footnote

Он вскинул руки."
"# Translate:

checker

## Footnote

I lost my last checker.","шашка

## Footnote

Я потерял свою последнюю шашку."
"# Translate:

front-line

## Footnote

This is a front-line soldier.","фронтовой

## Footnote

Это фронтовой солдат."
"# Translate:

equivalent

## Footnote

One thousand is the equivalent of ten hundreds.","эквивалент

## Footnote

Одна тысяча — эквивалент десяти сотен."
"# Translate:

kite

## Footnote

The kite is high in the sky.","воздушный змей

## Footnote

Воздушный змей высоко в небе."
"# Translate:

suburb

## Footnote

We live in a quiet suburb.","пригород

## Footnote

Мы живём в тихом пригороде."
"# Translate:

hang down

## Footnote

A leaf hangs down from the branch.","свисать

## Footnote

Лист свисает с ветки."
"# Translate:

to lurk

## Footnote

Danger lurks around here.","таиться

## Footnote

Опасность таится здесь."
"# Translate:

stool

## Footnote

She sat on the stool quietly.","табуретка

## Footnote

Она тихо сидела на табуретке."
"# Translate:

untie

## Footnote

Please untie the knot.","развязать

## Footnote

Пожалуйста, развяжите узел."
"# Translate:

impatiently

## Footnote

She waited impatiently.","нетерпеливо

## Footnote

Она нетерпеливо ждала."
