Question,Answer
"# Translate:

и

## Footnote

Книга и стол.","and

## Footnote

The book and the table."
"# Translate:

в

## Footnote

В доме.","in, at

## Footnote

In the house."
"# Translate:

не

## Footnote

Это не книга.","not

## Footnote

This is not a book."
"# Translate:

на

## Footnote

На столе.","on

## Footnote

On the table."
"# Translate:

я

## Footnote

Я дома.","I

## Footnote

I'm at home."
"# Translate:

что

## Footnote

Что на столе?","what, that

## Footnote

What's on the table?"
"# Translate:

быть

## Footnote

Я был дома.","to be

## Footnote

I was at home."
"# Translate:

с

## Footnote

Я с ним.","with

## Footnote

I'm with him."
"# Translate:

он

## Footnote

Он дома.","he

## Footnote

He's at home."
"# Translate:

а

## Footnote

Я дома, а он нет.","but, and

## Footnote

I'm home, but he's not."
"# Translate:

это

## Footnote

Что это?","this, it

## Footnote

What's this?"
"# Translate:

как

## Footnote

Как это?","how, as

## Footnote

How so?"
"# Translate:

то

## Footnote

То — моё.","that one

## Footnote

That one is mine."
"# Translate:

этот

## Footnote

Не этот.","this

## Footnote

Not this one."
"# Translate:

по

## Footnote

По книге.","by, according to

## Footnote

According to the book."
"# Translate:

к

## Footnote

Я иду к нему.","to, towards

## Footnote

I go to him."
"# Translate:

но

## Footnote

Я дома, но он — нет.","but

## Footnote

I'm home, but he isn't."
"# Translate:

они

## Footnote

Это они.","they

## Footnote

That's them."
"# Translate:

мы

## Footnote

Это мы.","we

## Footnote

That's us."
"# Translate:

она

## Footnote

Это она.","she

## Footnote

That's her."
"# Translate:

который

## Footnote

Книга, которая на столе.","which, that

## Footnote

The book that is on the table."
"# Translate:

из

## Footnote

Я из города.","from, out of

## Footnote

I'm from the city."
"# Translate:

у

## Footnote

У него дом.","at; have (possession construction)

## Footnote

He has a house."
"# Translate:

свой

## Footnote

У него свой дом.","one's own

## Footnote

He has his own house."
"# Translate:

вы

## Footnote

А вы?","you (pl./formal)

## Footnote

And you?"
"# Translate:

весь

## Footnote

Это весь дом.","all, whole

## Footnote

That's the whole house."
"# Translate:

за

## Footnote

За что?","behind, for

## Footnote

What for?"
"# Translate:

для

## Footnote

Это для него.","for

## Footnote

That's for him."
"# Translate:

от

## Footnote

Это от неё.","from

## Footnote

That's from her."
"# Translate:

о

## Footnote

О чём?","about

## Footnote

About what?"
"# Translate:

так

## Footnote

Не так.","so

## Footnote

Not so."
"# Translate:

мочь

## Footnote

Я не могу.","to be able, can

## Footnote

I can't."
"# Translate:

ты

## Footnote

Ты как?","you (informal)

## Footnote

How are you?"
"# Translate:

же

## Footnote

Это же он.","after all

## Footnote

That's him, after all."
"# Translate:

год

## Footnote

В этом году.","year

## Footnote

This year."
"# Translate:

человек

## Footnote

Что за человек?","person

## Footnote

What kind of person is that?"
"# Translate:

один

## Footnote

Я один.","one, alone

## Footnote

I'm alone."
"# Translate:

такой

## Footnote

Такой дом.","such

## Footnote

Such a house."
"# Translate:

тот

## Footnote

Не тот.","that, that one

## Footnote

Not that one."
"# Translate:

или

## Footnote

Я или ты?","or

## Footnote

Me or you?"
"# Translate:

если

## Footnote

Если что, я дома.","if

## Footnote

If anything, I'm home."
"# Translate:

только

## Footnote

Только не это.","only, just

## Footnote

Just not this."
"# Translate:

бы

## Footnote

Я бы был дома.","would

## Footnote

I would be home."
"# Translate:

себя

## Footnote

Я сделал это для себя.","oneself

## Footnote

I did it for myself."
"# Translate:

время

## Footnote

Время есть?","time

## Footnote

Got time?"
"# Translate:

когда

## Footnote

Когда он дома?","when

## Footnote

When is he home?"
"# Translate:

уже

## Footnote

Уже?","already

## Footnote

Already?"
"# Translate:

другой

## Footnote

А другой?","other, another

## Footnote

What about the other one?"
"# Translate:

сказать

## Footnote

Что сказать?","to say

## Footnote

What to say?"
"# Translate:

до

## Footnote

До того дня.","until, up to

## Footnote

Until that day."
"# Translate:

мой

## Footnote

Это моё.","my, mine

## Footnote

That's mine."
"# Translate:

наш

## Footnote

Это наше.","our, ours

## Footnote

That's ours."
"# Translate:

чтобы

## Footnote

Чтобы он был дома.","so that, to

## Footnote

So that he'd be home."
"# Translate:

говорить

## Footnote

О чём говорить?","to speak, to talk

## Footnote

What's there to talk about?"
"# Translate:

самый

## Footnote

Это тот самый.","the very, most

## Footnote

That's the very one."
"# Translate:

знать

## Footnote

Я его знаю.","to know

## Footnote

I know him."
"# Translate:

вот

## Footnote

Вот он.","here

## Footnote

Here he is."
"# Translate:

очень

## Footnote

Не очень.","very

## Footnote

Not very."
"# Translate:

нет

## Footnote

Книги нет.","no, there isn't

## Footnote

There isn't a book."
"# Translate:

кто

## Footnote

Кто это?","who

## Footnote

Who's that?"
"# Translate:

при

## Footnote

Не при нём.","in the presence of

## Footnote

Not in his presence."
"# Translate:

да

## Footnote

Да, это он.","yes

## Footnote

Yes, that's him."
"# Translate:

стать

## Footnote

Кем он стал?","to become

## Footnote

What did he become?"
"# Translate:

день

## Footnote

В тот день.","day

## Footnote

That day."
"# Translate:

первый

## Footnote

Я первый.","first

## Footnote

I'm first."
"# Translate:

даже

## Footnote

Я даже не знаю.","even

## Footnote

I don't even know."
"# Translate:

можно

## Footnote

Можно мне?","can, may

## Footnote

May I?"
"# Translate:

жизнь

## Footnote

Всю жизнь.","life

## Footnote

All my life."
"# Translate:

ни

## Footnote

Ни я, ни он.","neither, nor

## Footnote

Neither me nor him."
"# Translate:

сам

## Footnote

Сам знаю.","myself

## Footnote

I know it myself."
"# Translate:

дело

## Footnote

В чём дело?","matter, business

## Footnote

What's the matter?"
"# Translate:

два

## Footnote

Два дня.","two

## Footnote

Two days."
"# Translate:

новый

## Footnote

Что нового?","new

## Footnote

What's new?"
"# Translate:

раз

## Footnote

В этот раз.","time, once

## Footnote

This time."
"# Translate:

хотеть

## Footnote

Хочешь?","to want

## Footnote

Want some?"
