Question,Answer
"# Translate:

practical

## Footnote

This is a practical solution.","практический

## Footnote

Это практическое решение."
"# Translate:

translate

## Footnote

Please translate this document.","перевести

## Footnote

Пожалуйста, переведите этот документ."
"# Translate:

to need

## Footnote

I need help.","нуждаться

## Footnote

Я нуждаюсь в помощи."
"# Translate:

directly

## Footnote

He reported this directly to the director.","непосредственно

## Footnote

Он сообщил это непосредственно директору."
"# Translate:

sexual

## Footnote

Sexual health is important.","сексуальный

## Footnote

Сексуальное здоровье важно."
"# Translate:

including

## Footnote

Everyone came, including the teacher.","включая

## Footnote

Все пришли, включая учителя."
"# Translate:

unknown

## Footnote

His name is unknown.","неизвестный

## Footnote

Его имя неизвестно."
"# Translate:

unhappy

## Footnote

He felt deeply unhappy.","несчастный

## Footnote

Он чувствовал себя глубоко несчастным."
"# Translate:

layer

## Footnote

This layer is big.","слой

## Footnote

Этот слой большой."
"# Translate:

musical

## Footnote

She loves musical evenings.","музыкальный

## Footnote

Она любит музыкальные вечера."
"# Translate:

besides

## Footnote

Besides work, she studies art.","помимо

## Footnote

Помимо работы, она занимается искусством."
"# Translate:

appointment

## Footnote

He received an important appointment yesterday.","назначение

## Footnote

Он получил важное назначение вчера."
"# Translate:

guilty

## Footnote

He felt guilty.","виноватый

## Footnote

Он чувствовал себя виноватым."
"# Translate:

shift

## Footnote

I work a night shift.","смена

## Footnote

Я работаю в ночную смену."
"# Translate:

positive

## Footnote

He received a positive answer.","положительный

## Footnote

Он получил положительный ответ."
"# Translate:

meat

## Footnote

I eat meat.","мясо

## Footnote

Я ем мясо."
"# Translate:

allocate

## Footnote

Please allocate time for education.","выделить

## Footnote

Пожалуйста, выделите время на образование."
"# Translate:

park

## Footnote

The park is near.","парк

## Footnote

Парк рядом."
"# Translate:

prominent

## Footnote

He is a prominent writer.","видный

## Footnote

Он видный писатель."
"# Translate:

status

## Footnote

Check your status.","статус

## Footnote

Проверьте ваш статус."
"# Translate:

prison

## Footnote

He was in prison yesterday.","тюрьма

## Footnote

Он был в тюрьме вчера."
